Title,SoldPrice,SoldDate
Lightweight Sneaker**New**41**Rose with Rhinestone**Bucket Stripes**,$1.11,"Sold  Jul 27, 2023"
New ListingSize 8.5 - Jordan 3 Retro Mid Cool Grey,$1.00,"Sold  Jul 27, 2023"
"High Sneaker, by Nike Vandal High, Size 39",$38.72,"Sold  Jul 27, 2023"
Nike SB Dunk Low Pink Pig CV1655-600 UK 9 EU44 ,$321.77,"Sold  Jul 27, 2023"
Adidas kids shoes 8.5 UK,$6.33,"Sold  Jul 27, 2023"
Nike Air Jordan 3 Retro Fire Red White Men’s Size 9.5 (2022) DN3707-160 New,$220.00,"Sold  Jul 27, 2023"
Boys Converse All Star Strapy Trainers Uk Size 10 Euro 26,$11.62,"Sold  Jul 27, 2023"
"Adidas Ligra Indoor Size 6 Ideal For Football, Gym. unisex Teens Women/men",$1.94,"Sold  Jul 27, 2023"
INOV8  Men's Roc Lite 282 GTX Black tennis shoes 11,$39.00,"Sold  Jul 27, 2023"
Hugo Boss Sneakers,$84.00,"Sold  Jul 27, 2023"
Adidas Originals PW Tennis Hu CQ2162 Lace Up Black Mens Shoes Size 9,$67.50,"Sold  Jul 27, 2023"
Golden Goose Sneakers Slide High Tops - Suede Toe Metallic Leather Star  - EU 37,$140.86,"Sold  Jul 27, 2023"
Disney Frozen 2 Converse Size 5,$58.15,"Sold  Jul 27, 2023"
jordan 1 mid ice blue black,$102.90,"Sold  Jul 27, 2023"
New ListingAdidas NMD V3 (Grey) - UK Size 9,$38.77,"Sold  Jul 27, 2023"
New Balance 997 'Distinct Weekend' Uk7,$71.07,"Sold  Jul 27, 2023"
Nike Vapormax size 41,$28.21,"Sold  Jul 27, 2023"
Designer Paul Smith Navy Metallic High Tops Trainers Sneakers Size 5/38,$20.68,"Sold  Jul 27, 2023"
New Balance 2002r Black Dark Grey / Phantom / UK size 8,$77.54,"Sold  Jul 27, 2023"
DOLCE & GABBANA CRYSTAL RED ,"$1,050.00","Sold  Jul 27, 2023"
Vans “Utracush” trainers. Black. Size: UK 7 (40.5/41),$8.40,"Sold  Jul 27, 2023"
ASICS Women’s Gel Cumulus 22 Blue/Gray/Neon Green Running Shoes Size 8,$19.00,"Sold  Jul 27, 2023"
